iter	Logloss
0	0.5411553052
1	0.4307205816
2	0.3609862302
3	0.3138808271
4	0.2758251781
5	0.2497061226
6	0.2316669947
7	0.2173782564
8	0.2067581864
9	0.1937717509
10	0.1845980962
11	0.1743805337
12	0.1690391644
13	0.1628025082
14	0.1548847699
15	0.1478463277
16	0.1426527656
17	0.1380372482
18	0.1343892615
19	0.1305051093
20	0.1270243476
21	0.1220244562
22	0.1180690016
23	0.114891072
24	0.1115958264
25	0.1103325937
26	0.1082778788
27	0.106878175
28	0.1039506655
29	0.1015937859
30	0.1002517087
31	0.09679077027
32	0.09540888532
33	0.09283401941
34	0.09110870422
35	0.08857949268
36	0.08696055121
