OBJECTID,PERIMETER,DOMCountyID,FIPS,Shape_Length,Shape_Area,FIPS (Integer),County Name,State,CountyDisplayName
1,193975.5,60,19119,2.2127526708553,0.169101834538078,19119,Lyon,IA,Lyon County
2,130929.6,72,19143,1.43454319816777,0.114867274584724,19143,Osceola,IA,Osceola County
3,131290.5,30,19059,1.438023479545,0.116176401060195,19059,Dickinson,IA,Dickinson County
4,130956.8,32,19063,1.43404643744654,0.11580324338176,19063,Emmet,IA,Emmet County
5,172890.3,3,19005,1.8478617292524,0.189375563377525,19005,Allamakee,IA,Allamakee County
6,208208.3,55,19109,2.12797026742495,0.279506512772713,19109,Kossuth,IA,Kossuth County
7,170177.5,96,19191,1.78870782279644,0.1981843950532,19191,Winneshiek,IA,Winneshiek County
8,140643.2,45,19089,1.52225545372323,0.136239672356449,19089,Howard,IA,Howard County
9,130966.8,95,19189,1.43533781572365,0.115503756557912,19189,Winnebago,IA,Winnebago County
10,140088.6,66,19131,1.51579601006007,0.13507691348882,19131,Mitchell,IA,Mitchell County
11,130963,98,19195,1.43534589725258,0.115607405637302,19195,Worth,IA,Worth County
12,220581.3,84,19167,2.45753459235534,0.220121447870459,19167,Sioux,IA,Sioux County
13,154085.1,71,19141,1.63916495853795,0.164071999556903,19141,Obrien,IA,Obrien County
14,153944.1,21,19041,1.63897894921877,0.16393012039418,19041,Clay,IA,Clay County
15,153531.3,74,19147,1.63360274413066,0.163027285591863,19147,Palo Alto,IA,Palo Alto County
16,154119.3,41,19081,1.64022442996269,0.164081009676011,19081,Hancock,IA,Hancock County
17,154230.9,17,19033,1.64167384685929,0.164593890087755,19033,Cerro Gordo,IA,Cerro Gordo County
18,144990.8,19,19037,1.55793304308427,0.144783457649925,19037,Chickasaw,IA,Chickasaw County
19,144459.6,34,19067,1.5518449251389,0.14352592627169,19067,Floyd,IA,Floyd County
20,204158.7,22,19043,2.20235204149844,0.226710827365473,19043,Clayton,IA,Clayton County
21,175186.8,33,19065,1.82861179671313,0.208640704098903,19065,Fayette,IA,Fayette County
22,234114.4,75,19149,2.5861683515304,0.246019887469318,19149,Plymouth,IA,Plymouth County
23,154682,18,19035,1.64015874680728,0.164270532412623,19035,Cherokee,IA,Cherokee County
24,155119.5,11,19021,1.64552268750432,0.165221632801483,19021,Buena Vista,IA,Buena Vista County
25,154783.7,76,19151,1.64124953362207,0.164761949613956,19151,Pocahontas,IA,Pocahontas County
26,135615,46,19091,1.46962109923082,0.124113863783599,19091,Humboldt,IA,Humboldt County
27,155088.9,99,19197,1.64480853624702,0.165684117050661,19197,Wright,IA,Wright County
